title,author,narrator,length,release_date,language,regular_price
Too Late,Colleen Hoover,"Ryan Gray,Maxine Mitchell,Joe Arden",10 hrs and 19 mins,2023-06-27,English,43.80
Everything,Dakota Krout,Christian J. Gilliland,13 hrs and 42 mins,2023-06-21,English,31.27
No Second Chance,Harlan Coben,Mark Arnold,13 hrs and 15 mins,2023-07-11,English,25.96
Leviathan,Darius Hinks,Theo Solomon,12 hrs and 13 mins,2023-06-24,English,40.99
Warrior Fae,"Caroline Peckham,Susanne Valenti","Angelina Rocca,Troy Duran",29 hrs and 37 mins,2023-06-10,English,37.53
Something Unexpected,Vi Keeland,"Teddy Hamilton,Andi Arndt",8 hrs and 39 mins,2023-07-03,English,25.00
One True Loves,Taylor Jenkins Reid,"Julia Whelan,Taylor Jenkins Reid",8 hrs and 53 mins,2023-06-13,English,23.67
Our Cosmic Origin,Ismael Perez,Benjamin Powell,11 hrs and 54 mins,2023-06-26,English,31.27
Fourth Wing,Rebecca Yarros,"Rebecca Soler,Teddy Hamilton",20 hrs and 43 mins,2023-05-02,English,48.24
The Covenant of Water,Abraham Verghese,Abraham Verghese,31 hrs and 16 mins,2023-05-02,English,52.62
Shadow's Seduction,Kresley Cole,Robert Petkoff,7 hrs and 28 mins,2023-07-11,English,25.00
Scattered Minds,Gabor Maté MD,Daniel Maté,11 hrs and 22 mins,2023-07-04,English,40.27
The Silmarillion,"J. R. R. Tolkien,Christopher Tolkien",Andy Serkis,19 hrs and 24 mins,2023-06-22,English,27.32
Hunted,Suzanne Wright,Cat Doucette,14 hrs and 32 mins,2023-07-06,English,34.16
The Complete Poppy War Trilogy,R. F. Kuang,Emily Woo Zeller,66 hrs and 29 mins,2023-06-06,English,100.08
Shallow River,H. D. Carlton,"Jacob Morgan,Michelle Sparks",13 hrs and 2 mins,2023-07-05,English,31.27
Diablo: Book of Lorath,Matthew J. Kirby,Ralph Ineson,3 hrs and 43 mins,2023-06-12,English,26.28
The Far Reaches,"James S. A. Corey,Veronica Roth,Rebecca Roanhorse,Ann Leckie,Nnedi Okorafor,John Scalzi","James Patrick Cronin,Soneela Nankani,Shaun Taylor-Corbett,P. J. Morgan,Délé Ogundiran,Kay Eluvian",6 hrs and 52 mins,2023-06-27,English,21.92
The Eighth Harmony,A. F. Kay,Travis Baldree,14 hrs and 33 mins,2023-07-10,English,31.27
On Our Best Behavior,Elise Loehnen,Elise Loehnen,11 hrs and 54 mins,2023-05-23,English,39.48
