title,url,user-agent
X (2002) - full transcript,https://subslikescript.com/movie/X-326430,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
X (2021) - full transcript,https://subslikescript.com/movie/X-13262868,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
X (2022) - full transcript,https://subslikescript.com/movie/X-13560574,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
X (1996) - full transcript,https://subslikescript.com/movie/X-118200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
X - The eXploited (2018) - full transcript,https://subslikescript.com/movie/X_-_The_eXploited-6190456,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
X Men Origins: Wolverine T4 Movie Special (2009) - full transcript,https://subslikescript.com/movie/X_Men_Origins_Wolverine_T4_Movie_Special-1423570,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
X Moor (2014) - full transcript,https://subslikescript.com/movie/X_Moor-3293138,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
X the Unknown (1956) - full transcript,https://subslikescript.com/movie/X_the_Unknown-49967,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
X-Deal (2011) - full transcript,https://subslikescript.com/movie/X-Deal-2049597,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
X-Men (2000) - full transcript,https://subslikescript.com/movie/X-Men-120903,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
X-Men 2 (2003) - full transcript,https://subslikescript.com/movie/X-Men_2-290334,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
X-Men Origins: Wolverine (2009) - full transcript,https://subslikescript.com/movie/X-Men_Origins_Wolverine-458525,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
X-Men: Apocalypse (2016) - full transcript,https://subslikescript.com/movie/X-Men_Apocalypse-3385516,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
X-Men: Dark Phoenix (2019) - full transcript,https://subslikescript.com/movie/X-Men_Dark_Phoenix-6565702,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
X-Men: Days of Future Past (2014) - full transcript,https://subslikescript.com/movie/X-Men_Days_of_Future_Past-1877832,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
X-Men: First Class (2011) - full transcript,https://subslikescript.com/movie/X-Men_First_Class-1270798,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
Xenophobia (2019) - full transcript,https://subslikescript.com/movie/Xenophobia-8571404,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
Xenia (2014) - full transcript,https://subslikescript.com/movie/Xenia-3186946,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
Xena: Warrior Princess - A Friend in Need (The Director's Cut) (2002) - full transcript,https://subslikescript.com/movie/Xena_Warrior_Princess_-_A_Friend_in_Need_The_Directors_Cut-817532,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
XConfessions Vol. 22 (2020) - full transcript,https://subslikescript.com/movie/XConfessions_Vol_22-13907180,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
Xane: The Vampire God (2020) - full transcript,https://subslikescript.com/movie/Xane_The_Vampire_God-9515732,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
Xanda (2004) - full transcript,https://subslikescript.com/movie/Xanda-388547,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
Xanadu (1980) - full transcript,https://subslikescript.com/movie/Xanadu-81777,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
X&Y (2018) - full transcript,https://subslikescript.com/movie/XY-8587142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
X/Y (2014) - full transcript,https://subslikescript.com/movie/XY-2790182,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
X: Yochou (2001) - full transcript,https://subslikescript.com/movie/X_Yochou-492922,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
X: The Man with the X-Ray Eyes (1963) - full transcript,https://subslikescript.com/movie/X_The_Man_with_the_X-Ray_Eyes-57693,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
X-Ray (1981) - full transcript,https://subslikescript.com/movie/X-Ray-82527,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
X-Rated 2: The Greatest Adult Stars of All Time! (2016) - full transcript,https://subslikescript.com/movie/X-Rated_2_The_Greatest_Adult_Stars_of_All_Time-6189052,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
X-Men: The Last Stand (2006) - full transcript,https://subslikescript.com/movie/X-Men_The_Last_Stand-376994,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
Xi He (2015) - full transcript,https://subslikescript.com/movie/Xi_He-4253132,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
Xi lu xiang (1950) - full transcript,https://subslikescript.com/movie/Xi_lu_xiang-193633,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
XXXHOLic: Shunmuki - Zenpen (2009) - full transcript,https://subslikescript.com/movie/XXXHOLic_Shunmuki_-_Zenpen-1263772,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
XXXHOLiC: Shunmuki - Kouhen (2009) - full transcript,https://subslikescript.com/movie/XXXHOLiC_Shunmuki_-_Kouhen-1461305,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.82"
