Date,Home Team,Score,Away Team
26-01-2023,Rosario Central,1 - 0,Argentinos Jrs
05-02-2023,Argentinos Jrs,1 - 0,Racing Club
12-02-2023,River Plate,2 - 1,Argentinos Jrs
18-02-2023,Argentinos Jrs,3 - 0,Belgrano Cordoba
28-02-2023,CA Central Córdoba de Santiago del Estero,1 - 0,Argentinos Jrs
06-03-2023,Tigre,0 - 1,Argentinos Jrs
11-03-2023,Argentinos Jrs,1 - 1,Arsenal de Sarandi
21-03-2023,Lanus,0 - 0,Argentinos Jrs
31-03-2023,Argentinos Jrs,3 - 0,Godoy Cruz
08-04-2023,Sarmiento Junin,2 - 0,Argentinos Jrs
11-04-2023,Argentinos Jrs,5 - 1,Union Santa Fe
16-04-2023,Huracan,0 - 0,Argentinos Jrs
25-04-2023,Argentinos Jrs,2 - 4,Gimnasia LP
28-04-2023,Newells,0 - 0,Argentinos Jrs
06-05-2023,Argentinos Jrs,2 - 2,CA Independiente
13-05-2023,CA Tucuman,1 - 2,Argentinos Jrs
20-05-2023,Argentinos Jrs,0 - 1,Boca Juniors
28-05-2023,Talleres Cord.,1 - 0,Argentinos Jrs
03-06-2023,Argentinos Jrs,1 - 0,Platense
13-06-2023,Velez Sarsfield,0 - 1,Argentinos Jrs
24-06-2023,Argentinos Jrs,3 - 1,Defensa y Justicia
02-07-2023,Banfield,1 - 0,Argentinos Jrs
06-07-2023,Argentinos Jrs,0 - 0,Instituto Cordoba
10-07-2023,Barracas Central,0 - 0,Argentinos Jrs
17-07-2023,Argentinos Jrs,? - ?,Colon
28-01-2023,San Lorenzo,1 - 0,Arsenal de Sarandi
04-02-2023,Arsenal de Sarandi,1 - 1,Estudiantes LP
12-02-2023,Rosario Central,2 - 1,Arsenal de Sarandi
18-02-2023,Arsenal de Sarandi,0 - 3,Racing Club
26-02-2023,River Plate,1 - 2,Arsenal de Sarandi
06-03-2023,Arsenal de Sarandi,0 - 1,Belgrano Cordoba
11-03-2023,Argentinos Jrs,1 - 1,Arsenal de Sarandi
18-03-2023,Arsenal de Sarandi,2 - 0,Tigre
04-04-2023,CA Central Córdoba de Santiago del Estero,1 - 0,Arsenal de Sarandi
07-04-2023,Lanus,3 - 0,Arsenal de Sarandi
13-04-2023,Arsenal de Sarandi,2 - 3,Godoy Cruz
17-04-2023,Sarmiento Junin,1 - 0,Arsenal de Sarandi
22-04-2023,Arsenal de Sarandi,2 - 1,Union Santa Fe
28-04-2023,Huracan,2 - 1,Arsenal de Sarandi
08-05-2023,Arsenal de Sarandi,0 - 1,Gimnasia LP
13-05-2023,Newells,2 - 0,Arsenal de Sarandi
19-05-2023,Arsenal de Sarandi,2 - 1,CA Independiente
27-05-2023,CA Tucuman,1 - 0,Arsenal de Sarandi
02-06-2023,Arsenal de Sarandi,1 - 0,Boca Juniors
11-06-2023,Talleres Cord.,1 - 0,Arsenal de Sarandi
25-06-2023,Arsenal de Sarandi,0 - 2,Platense
01-07-2023,Velez Sarsfield,1 - 0,Arsenal de Sarandi
06-07-2023,Arsenal de Sarandi,1 - 2,Defensa y Justicia
09-07-2023,Banfield,0 - 0,Arsenal de Sarandi
17-07-2023,Arsenal de Sarandi,? - ?,Instituto Cordoba
30-01-2023,Banfield,0 - 0,Union Santa Fe
07-02-2023,Huracan,3 - 2,Banfield
12-02-2023,Banfield,0 - 0,Gimnasia LP
19-02-2023,Newells,2 - 0,Banfield
27-02-2023,Banfield,0 - 0,CA Independiente
05-03-2023,CA Tucuman,1 - 0,Banfield
13-03-2023,Banfield,1 - 0,Boca Juniors
20-03-2023,Talleres Cord.,0 - 1,Banfield
03-04-2023,Banfield,0 - 2,Platense
08-04-2023,Velez Sarsfield,3 - 3,Banfield
12-04-2023,Banfield,0 - 3,Defensa y Justicia
17-04-2023,Banfield,1 - 0,CA Central Córdoba de Santiago del Estero
23-04-2023,Instituto Cordoba,1 - 1,Banfield
29-04-2023,Banfield,0 - 0,Barracas Central
06-05-2023,Colon,2 - 0,Banfield
13-05-2023,Banfield,1 - 2,San Lorenzo
19-05-2023,Estudiantes LP,1 - 0,Banfield
29-05-2023,Banfield,2 - 0,Rosario Central
04-06-2023,Racing Club,2 - 0,Banfield
12-06-2023,Banfield,1 - 4,River Plate
26-06-2023,Belgrano Cordoba,3 - 1,Banfield
02-07-2023,Banfield,1 - 0,Argentinos Jrs
05-07-2023,Tigre,1 - 2,Banfield
09-07-2023,Banfield,0 - 0,Arsenal de Sarandi
16-07-2023,Lanus,? - ?,Banfield
30-01-2023,Barracas Central,0 - 1,Godoy Cruz
04-02-2023,Sarmiento Junin,3 - 5,Barracas Central
13-02-2023,Barracas Central,1 - 1,Union Santa Fe
18-02-2023,Huracan,2 - 0,Barracas Central
27-02-2023,Barracas Central,1 - 0,Gimnasia LP
05-03-2023,Newells,1 - 0,Barracas Central
10-03-2023,Barracas Central,1 - 1,CA Independiente
19-03-2023,CA Tucuman,1 - 1,Barracas Central
01-04-2023,Barracas Central,0 - 3,Boca Juniors
08-04-2023,Talleres Cord.,3 - 0,Barracas Central
11-04-2023,Barracas Central,1 - 0,Platense
16-04-2023,Velez Sarsfield,0 - 0,Barracas Central
24-04-2023,Barracas Central,0 - 2,Defensa y Justicia
29-04-2023,Banfield,0 - 0,Barracas Central
05-05-2023,Barracas Central,3 - 0,Instituto Cordoba
15-05-2023,Barracas Central,2 - 2,CA Central Córdoba de Santiago del Estero
21-05-2023,Colon,1 - 1,Barracas Central
28-05-2023,Barracas Central,1 - 0,San Lorenzo
02-06-2023,Estudiantes LP,5 - 2,Barracas Central
09-06-2023,Barracas Central,0 - 0,Rosario Central
22-06-2023,Racing Club,1 - 1,Barracas Central
01-07-2023,Barracas Central,2 - 1,River Plate
07-07-2023,Belgrano Cordoba,0 - 2,Barracas Central
10-07-2023,Barracas Central,0 - 0,Argentinos Jrs
17-07-2023,Tigre,? - ?,Barracas Central
28-01-2023,Racing Club,0 - 0,Belgrano Cordoba
04-02-2023,Belgrano Cordoba,2 - 1,River Plate
11-02-2023,CA Central Córdoba de Santiago del Estero,0 - 1,Belgrano Cordoba
18-02-2023,Argentinos Jrs,3 - 0,Belgrano Cordoba
25-02-2023,Belgrano Cordoba,0 - 2,Tigre
06-03-2023,Arsenal de Sarandi,0 - 1,Belgrano Cordoba
12-03-2023,Belgrano Cordoba,0 - 0,Lanus
19-03-2023,Godoy Cruz,3 - 1,Belgrano Cordoba
03-04-2023,Belgrano Cordoba,0 - 0,Sarmiento Junin
08-04-2023,Union Santa Fe,0 - 3,Belgrano Cordoba
12-04-2023,Belgrano Cordoba,2 - 0,Huracan
16-04-2023,Gimnasia LP,0 - 2,Belgrano Cordoba
22-04-2023,Belgrano Cordoba,1 - 0,Newells
30-04-2023,CA Independiente,2 - 0,Belgrano Cordoba
06-05-2023,Belgrano Cordoba,1 - 0,CA Tucuman
14-05-2023,Boca Juniors,2 - 0,Belgrano Cordoba
21-05-2023,Belgrano Cordoba,1 - 1,Talleres Cord.
27-05-2023,Platense,1 - 0,Belgrano Cordoba
03-06-2023,Belgrano Cordoba,2 - 0,Velez Sarsfield
13-06-2023,Defensa y Justicia,2 - 0,Belgrano Cordoba
26-06-2023,Belgrano Cordoba,3 - 1,Banfield
02-07-2023,Instituto Cordoba,1 - 0,Belgrano Cordoba
07-07-2023,Belgrano Cordoba,0 - 2,Barracas Central
10-07-2023,Colon,0 - 0,Belgrano Cordoba
16-07-2023,Belgrano Cordoba,? - ?,San Lorenzo
30-01-2023,Boca Juniors,1 - 0,CA Tucuman
05-02-2023,Boca Juniors,0 - 0,CA Central Córdoba de Santiago del Estero
12-02-2023,Talleres Cord.,2 - 1,Boca Juniors
19-02-2023,Boca Juniors,3 - 1,Platense
26-02-2023,Velez Sarsfield,1 - 2,Boca Juniors
07-03-2023,Boca Juniors,0 - 0,Defensa y Justicia
13-03-2023,Banfield,1 - 0,Boca Juniors
19-03-2023,Boca Juniors,2 - 3,Instituto Cordoba
01-04-2023,Barracas Central,0 - 3,Boca Juniors
10-04-2023,Boca Juniors,1 - 2,Colon
12-04-2023,San Lorenzo,1 - 0,Boca Juniors
15-04-2023,Boca Juniors,0 - 1,Estudiantes LP
23-04-2023,Rosario Central,2 - 2,Boca Juniors
30-04-2023,Boca Juniors,3 - 1,Racing Club
07-05-2023,River Plate,1 - 0,Boca Juniors
14-05-2023,Boca Juniors,2 - 0,Belgrano Cordoba
20-05-2023,Argentinos Jrs,0 - 1,Boca Juniors
28-05-2023,Boca Juniors,1 - 0,Tigre
02-06-2023,Arsenal de Sarandi,1 - 0,Boca Juniors
10-06-2023,Boca Juniors,1 - 1,Lanus
23-06-2023,Godoy Cruz,4 - 0,Boca Juniors
03-07-2023,Boca Juniors,2 - 0,Sarmiento Junin
06-07-2023,Union Santa Fe,0 - 0,Boca Juniors
10-07-2023,Boca Juniors,1 - 0,Huracan
16-07-2023,Gimnasia LP,? - ?,Boca Juniors
29-01-2023,CA Central Córdoba de Santiago del Estero,0 - 2,River Plate
05-02-2023,Boca Juniors,0 - 0,CA Central Córdoba de Santiago del Estero
11-02-2023,CA Central Córdoba de Santiago del Estero,0 - 1,Belgrano Cordoba
20-02-2023,Talleres Cord.,2 - 0,CA Central Córdoba de Santiago del Estero
28-02-2023,CA Central Córdoba de Santiago del Estero,1 - 0,Argentinos Jrs
04-03-2023,Platense,1 - 1,CA Central Córdoba de Santiago del Estero
12-03-2023,CA Central Córdoba de Santiago del Estero,2 - 0,Tigre
22-03-2023,Velez Sarsfield,4 - 0,CA Central Córdoba de Santiago del Estero
04-04-2023,CA Central Córdoba de Santiago del Estero,1 - 0,Arsenal de Sarandi
