Title,Author,Narrator,Length,Release Date,Language,Regular Price
Too Late,Colleen Hoover,"Ryan Gray, Maxine Mitchell, Joe Arden",10 hrs and 19 mins,2023-06-27,English,43.80
Everything,Dakota Krout,Christian J. Gilliland,13 hrs and 42 mins,2023-06-21,English,31.27
Warrior Fae,"Caroline Peckham, Susanne Valenti","Angelina Rocca, Troy Duran",29 hrs and 37 mins,2023-06-10,English,37.53
The Eighth Harmony,A. F. Kay,Travis Baldree,14 hrs and 33 mins,2023-07-10,English,31.27
One True Loves,Taylor Jenkins Reid,"Julia Whelan, Taylor Jenkins Reid",8 hrs and 53 mins,2023-06-13,English,23.67
Fourth Wing,Rebecca Yarros,"Rebecca Soler, Teddy Hamilton",20 hrs and 43 mins,2023-05-02,English,48.24
The Covenant of Water,Abraham Verghese,Abraham Verghese,31 hrs and 16 mins,2023-05-02,English,52.62
The Intern,Serena Akeroyd,"Joe Arden, Jacob Morgan",7 hrs and 59 mins,2023-06-25,English,25.00
Something Unexpected,Vi Keeland,"Teddy Hamilton, Andi Arndt",8 hrs and 39 mins,2023-07-03,English,25.00
Shallow River,H. D. Carlton,"Jacob Morgan, Michelle Sparks",13 hrs and 2 mins,2023-07-05,English,31.27
Leviathan,Darius Hinks,Theo Solomon,12 hrs and 13 mins,2023-06-24,English,40.99
The Complete Poppy War Trilogy,R. F. Kuang,Emily Woo Zeller,66 hrs and 29 mins,2023-06-06,English,100.08
Scattered Minds,Gabor Maté MD,Daniel Maté,11 hrs and 22 mins,2023-07-04,English,40.27
The Silmarillion,"J. R. R. Tolkien, Christopher Tolkien",Andy Serkis,19 hrs and 24 mins,2023-06-22,English,27.32
Murder in Manhattan,Verity Bright,Karen Cass,8 hrs and 49 mins,2023-06-29,English,25.00
Wool,Hugh Howey,Edoardo Ballerini,15 hrs,2023-03-07,English,45.58
Diablo: Book of Lorath,Matthew J. Kirby,Ralph Ineson,3 hrs and 43 mins,2023-06-12,English,26.28
Hunted,Suzanne Wright,Cat Doucette,14 hrs and 32 mins,2023-07-06,English,34.16
Disentangling from Emotionally Immature People,Lindsay C. Gibson PsyD,Rachel Perry,9 hrs and 23 mins,2023-07-01,English,21.92
Beyond the Thistles,Samantha Young,"Shane East, Stella Hunter",10 hrs and 12 mins,2023-06-16,English,31.27
