Title,Author,Narrator,Length,Release Date,Language,Regular Price
Impact Winter Season 2,Travis Beacham,NA,5 hrs and 38 mins,2023-07-13,English,31.27
"Harry Potter and the Sorcerer's Stone, Book 1",J.K. Rowling,Jim Dale,8 hrs and 18 mins,2015-11-20,English,38.99
The Duke and I,Julia Quinn,Rosalyn Landor,12 hrs and 9 mins,2016-09-13,English,35.08
Destiny of Souls,Michael Newton,Peter Berkrot,15 hrs and 50 mins,2011-02-28,English,31.25
Journey of Souls,Michael Newton,Peter Berkrot,11 hrs and 18 mins,2011-02-28,English,25.43
Crime and Punishment,"Fyodor Dostoevsky, Constance Garnett - translator",Anthony Heald,20 hrs and 28 mins,2007-12-03,English,50.07
Outlander,Diana Gabaldon,Davina Porter,32 hrs and 38 mins,2006-07-13,English,43.85
Radical Acceptance,Tara Brach,Cassandra Campbell,12 hrs and 15 mins,2012-01-17,English,35.08
Beautiful Thorns,"Jaymin Eve, Tate James","Brooke Daniels, Lucas Webley",10 hrs and 21 mins,2023-07-13,English,31.27
The Grand Hotel: A Novel,Scott Kenemore,Christian Rummel,10 hrs and 40 mins,2014-10-21,English,33.54
Meditations,"Marcus Aurelius, George Long - translator, Duncan Steen - translator",Duncan Steen,5 hrs and 9 mins,2011-01-07,English,25.00
Man's Search for Meaning,Viktor E. Frankl,Simon Vance,4 hrs and 44 mins,2004-10-13,English,18.78
Blood Meridian,Cormac McCarthy,Richard Poe,13 hrs and 6 mins,2007-05-16,English,45.58
The History of Ancient Egypt,"Bob Brier, The Great Courses",Bob Brier,24 hrs and 25 mins,2013-07-08,English,71.17
Fingerprints of the Gods,Graham Hancock,Graham Hancock,18 hrs and 31 mins,2016-06-09,English,32.94
1984,George Orwell,Simon Prebble,11 hrs and 22 mins,2006-12-31,English,26.28
An Accidental Death,Peter Grainger,Gildart Jackson,6 hrs and 52 mins,2016-08-26,English,30.69
Born Winners,Sarah Richards,Karen Cliche,10 hrs and 23 mins,2023-05-24,English,34.95
The Queen's Gambit,Walter Tevis,Amy Landon,11 hrs and 50 mins,2018-12-11,English,30.67
Les 5 blessures qui empêchent d'être soi-même,Lise Bourbeau,Patricia Tulasne,2 hrs and 2 mins,2006-12-04,French,23.52
