Title,Author,Narrator,Length,Release Date,Language,Regular Price,Web Page
1. Atomic Habits,James Clear,James Clear,5 hrs and 35 mins,2018-10-16,English,35.09,1
2. The Psychology of Money,Morgan Housel,Chris Hill,5 hrs and 48 mins,2020-09-08,English,25.00,1
3. Outlive,"Peter Attia MD, Bill Gifford - contributor",Peter Attia MD,17 hrs and 7 mins,2023-03-28,English,43.86,1
4. Things We Never Got Over,Lucy Score,"Lila Winters, Sebastian York",16 hrs and 1 min,2022-03-01,English,31.27,1
5. Can't Hurt Me,David Goggins,"David Goggins, Adam Skolnick",13 hrs and 37 mins,2018-11-28,English,31.27,1
6. It’s Not Summer Without You,Jenny Han,"Lola Tung, Gavin Casalegno",6 hrs and 7 mins,2022-05-03,English,26.30,1
7. The Fellowship of the Ring,J. R. R. Tolkien,Andy Serkis,22 hrs and 38 mins,2021-09-16,English,52.62,1
8. The Two Towers,J. R. R. Tolkien,Andy Serkis,20 hrs and 46 mins,2021-09-16,English,48.24,1
9. Spare,Prince Harry The Duke of Sussex,Prince Harry The Duke of Sussex,15 hrs and 39 mins,2023-01-10,English,24.95,1
10. 101 Essays That Will Change the Way You Think,Brianna Wiest,Abby Craden,10 hrs and 45 mins,2018-08-21,English,21.92,1
11. Fourth Wing,Rebecca Yarros,"Rebecca Soler, Teddy Hamilton",20 hrs and 43 mins,2023-05-02,English,48.24,1
12. The Return of the King,J. R. R. Tolkien,Andy Serkis,21 hrs and 52 mins,2021-09-16,English,48.24,1
13. How to Talk to Anyone,Leil Lowndes,"Joyce Bean, Leil Lowndes",8 hrs and 59 mins,2015-09-01,English,31.57,1
14. The Subtle Art of Not Giving a F*ck,Mark Manson,Roger Wayne,5 hrs and 17 mins,2016-09-13,English,31.44,1
15. Scattered Minds,Gabor Maté MD,Daniel Maté,11 hrs and 22 mins,2023-07-04,English,40.27,1
16. 12 Rules for Life,"Jordan B. Peterson, Norman Doidge MD",Jordan B. Peterson,15 hrs and 40 mins,2018-01-23,English,56.14,1
17. Greenlights,Matthew McConaughey,Matthew McConaughey,6 hrs and 42 mins,2020-10-20,English,35.09,1
18. Wool,Hugh Howey,Edoardo Ballerini,15 hrs,2023-03-07,English,45.58,1
"19. Harry Potter and the Chamber of Secrets, Book 2",J.K. Rowling,Jim Dale,9 hrs and 2 mins,2015-11-20,English,38.99,1
20. 48 Laws of Power,Robert Greene,Richard Poe,23 hrs and 6 mins,2015-05-01,English,30.69,1
21. I'm Glad My Mom Died,Jennette McCurdy,Jennette McCurdy,6 hrs and 26 mins,2022-08-09,English,21.30,2
22. The Myth of Normal,"Gabor Maté, Daniel Maté",Daniel Maté,18 hrs and 12 mins,2022-09-13,English,52.55,2
23. Never Finished,David Goggins,"David Goggins, Adam Skolnick, Jacqueline Gardner",11 hrs and 6 mins,2022-12-06,English,31.27,2
24. The Covenant of Water,Abraham Verghese,Abraham Verghese,31 hrs and 16 mins,2023-05-02,English,52.62,2
25. How to Win Friends & Influence People,Dale Carnegie,Andrew MacMillan,7 hrs and 15 mins,2004-09-16,English,35.05,2
"26. Friends, Lovers, and the Big Terrible Thing",Matthew Perry,Matthew Perry,8 hrs and 49 mins,2022-11-01,English,31.97,2
27. The Mountain Is You,Brianna Wiest,Stacey Glemboski,5 hrs and 44 mins,2022-04-01,English,25.00,2
28. Dune,Frank Herbert,"Scott Brick, Orlagh Cassidy, Euan Morton, Simon Vance, Ilyana Kadushin, Byron Jennings, David R. Gordon, Jason Culp, Kent Broadhurst, Oliver Wyman, Patricia Kilgarriff, Scott Sowers",21 hrs and 2 mins,2006-12-31,English,53.29,2
29. A Court of Thorns and Roses,Sarah J. Maas,Jennifer Ikeda,16 hrs and 7 mins,2015-05-05,English,39.46,2
